timestamp,frequency_mhz,power_dbm,signal_type
2025-11-21T15:19:07.442932,2400.0,-39.65,unknown
2025-11-21T15:19:11.444183,88.0,-35.94,unknown
2025-11-21T15:19:14.445320,88.0,-73.48,unknown
2025-11-21T15:19:15.445788,2400.0,-42.77,unknown
2025-11-21T15:19:16.446467,2400.0,-64.49,unknown
2025-11-21T15:19:17.447346,2400.0,-68.95,unknown
2025-11-21T15:19:18.448431,2400.0,-39.86,unknown
2025-11-21T15:19:22.449350,2400.0,-51.21,unknown
2025-11-21T15:19:29.450725,433.0,-38.74,unknown
2025-11-21T15:19:34.451875,2400.0,-76.77,unknown
